run_date,run_ts,harness_commit,model,composite,smoke,edit-format,regression,steps_avg,stability,unfinished_rate,p50_ms,cost_usd,cache_read_rate
2026-06-20,2026-06-20,3aa93cf4,ollama/devstral-2:123b,0.8742,0.9000,0.8750,0.8605,3.11,1.0000,0.0633,4887,0.000000,
2026-06-20,2026-06-20,3aa93cf4,ollama/qwen3-coder:480b,0.7792,0.8000,0.6875,0.8605,3.47,0.9444,0.1266,4585,0.000000,
2026-06-20,2026-06-20,3aa93cf4,ollama/glm-5.2,0.7585,0.9000,0.5625,0.8837,2.82,0.9444,0.1013,4457,0.000000,
2026-06-20,2026-06-20,3aa93cf4,ollama/qwen3-coder-next,0.7385,0.8000,0.5625,0.8837,2.80,0.9444,0.0759,3568,0.000000,
2026-06-20,2026-06-20T22:15:58.789Z,29d9618a,ollama/devstral-2:123b,0.7992,0.9000,0.6875,0.8605,3.10,0.9444,0.0633,3845,0.000000,
2026-06-20,2026-06-20T22:15:58.789Z,29d9618a,ollama/glm-5.2,0.7771,0.9000,0.5625,0.9302,2.85,0.9444,0.1013,3616,0.000000,
2026-06-20,2026-06-20T22:15:58.789Z,29d9618a,ollama/qwen3-coder:480b,0.7449,0.8000,0.6250,0.8372,3.65,1.0000,0.1519,4615,0.000000,
2026-06-20,2026-06-20T22:15:58.789Z,29d9618a,ollama/qwen3-coder-next,0.7199,0.8000,0.5625,0.8372,2.87,0.9444,0.0759,3380,0.000000,
2026-06-21,2026-06-21T00:57:03.763Z,5aa34cdb,ollama/devstral-2:123b,0.9428,0.9000,1.0000,0.9070,3.05,1.0000,0.0390,4382,,
2026-06-21,2026-06-21T00:57:03.763Z,5aa34cdb,ollama/glm-5.2,0.9335,0.9000,1.0000,0.8837,2.61,1.0000,0.0130,3282,,
2026-06-21,2026-06-21T00:57:03.763Z,5aa34cdb,ollama/qwen3-coder-next,0.9028,0.7000,1.0000,0.9070,2.40,1.0000,0.0130,3022,,
2026-06-21,2026-06-21T00:57:03.763Z,5aa34cdb,ollama/qwen3-coder:480b,0.8656,0.7000,1.0000,0.8140,3.38,1.0000,0.1299,4658,,
2026-06-21,2026-06-21T01:56:03.847Z,8787d691,ollama/gpt-oss:20b,0.7413,0.6500,0.7143,0.8140,3.44,0.8235,0.1558,6440,,
2026-06-21,2026-06-21T01:56:03.847Z,8787d691,ollama/qwen2.5-coder:7b,0.0186,0.0000,0.0000,0.0465,0.99,1.0000,0.0130,37596,0.000000,
2026-06-21,2026-06-21T03:39:09.327Z,8787d691,ollama/llama3.1:8b,0.0186,0.0000,0.0000,0.0465,3.16,1.0000,0.9610,144453,0.000000,
2026-06-21,2026-06-21T14:18:10.802Z,abe38b09,openai/gpt-5-nano,0.8949,0.8500,0.9286,0.8837,2.92,0.8824,0.0390,34484,0.198279,0.5899
2026-06-21,2026-06-21T15:51:05.993Z,abe38b09,ollama/gpt-oss:20b,0.9159,0.7222,0.9286,1.0000,3.39,0.8750,0.0784,8286,,
2026-06-21,2026-06-21T16:08:42.305Z,8cc00bdc,ollama/devstral-2:123b,0.9778,0.8889,1.0000,1.0000,2.73,1.0000,0.0000,5276,,
2026-06-21,2026-06-21T16:08:42.305Z,8cc00bdc,ollama/glm-5.2,0.9667,0.8333,1.0000,1.0000,2.59,0.9375,0.0000,5462,,
2026-06-21,2026-06-21T16:08:42.305Z,8cc00bdc,ollama/qwen3-coder:480b,0.9556,0.7778,1.0000,1.0000,2.76,1.0000,0.0392,4774,,
2026-06-21,2026-06-21T16:08:42.305Z,8cc00bdc,ollama/qwen3-coder-next,0.9135,0.7778,1.0000,0.8947,2.51,1.0000,0.0000,3488,,
2026-06-21,2026-06-21T16:08:42.305Z,8cc00bdc,ollama/gpt-oss:20b,0.8873,0.7222,0.8571,1.0000,3.27,0.8125,0.0784,6858,,
2026-06-21,2026-06-21T16:47:04.293Z,61f58033,openai/gpt-5.4-mini,0.9778,0.8889,1.0000,1.0000,2.88,0.8750,0.0000,8974,0.391906,0.6825
2026-06-21,2026-06-21T16:47:04.293Z,61f58033,openai/gpt-5-nano,0.8238,0.8333,0.6429,1.0000,3.27,0.7500,0.0784,34182,0.135928,0.6445
2026-06-21,2026-06-21T17:48:46.219Z,e4b17276,openai/gpt-5.3-codex,0.9789,1.0000,1.0000,0.9474,2.96,1.0000,0.0196,9520,1.080709,0.7044
2026-06-21,2026-06-21T18:46:56.384Z,9af6ed9a,ollama/devstral-2:123b,0.9778,0.8889,1.0000,1.0000,2.65,1.0000,0.0000,7841,,
2026-06-21,2026-06-21T18:46:56.384Z,9af6ed9a,ollama/glm-5.2,0.9567,0.8889,1.0000,0.9474,2.76,1.0000,0.0000,4520,,
2026-06-21,2026-06-21T18:46:56.384Z,9af6ed9a,ollama/qwen3-coder:480b,0.9556,0.7778,1.0000,1.0000,2.75,1.0000,0.0392,4268,,
2026-06-21,2026-06-21T18:46:56.384Z,9af6ed9a,ollama/gpt-oss:20b,0.9270,0.7778,0.9286,1.0000,3.45,0.9375,0.0588,8528,,
2026-06-21,2026-06-21T18:46:56.384Z,9af6ed9a,ollama/qwen3-coder-next,0.9135,0.7778,1.0000,0.8947,2.55,1.0000,0.0000,4036,,
2026-06-21,2026-06-21T19:22:22.653Z,4e74fea7,openai/gpt-5-nano,0.9778,0.8889,1.0000,1.0000,3.10,0.8750,0.0196,34893,0.118173,0.6585
2026-06-21,2026-06-21T19:22:22.653Z,4e74fea7,openai/gpt-5.4-mini,0.9778,0.8889,1.0000,1.0000,2.96,1.0000,0.0000,7862,0.393755,0.6758
2026-06-21,2026-06-21T19:22:22.653Z,4e74fea7,openai/gpt-5.5,0.9504,1.0000,0.9286,0.9474,2.78,0.9375,0.0392,9467,2.539913,0.6055
2026-06-21,2026-06-21T19:22:22.653Z,4e74fea7,openai/gpt-5.3-codex,0.9468,0.9444,1.0000,0.8947,3.04,0.9375,0.0588,8216,1.033845,0.7588
2026-06-21,2026-06-21T19:22:22.653Z,4e74fea7,openai/gpt-5.4,0.8936,0.8889,1.0000,0.7895,3.57,0.8750,0.1176,9804,2.035727,0.6827
2026-06-21,2026-06-21T20:58:35.620Z,dbfc2351,anthropic/claude-opus-4-8,1.0000,1.0000,1.0000,1.0000,2.80,1.0000,0.0000,5701,2.765253,0.8161
2026-06-21,2026-06-21T21:10:31.967Z,dbfc2351,anthropic/claude-haiku-4-5,0.9456,0.8333,1.0000,0.9474,2.61,0.9375,0.0000,3196,0.443495,0.7936
2026-06-21,2026-06-21T21:17:20.683Z,dbfc2351,anthropic/claude-sonnet-4-6,0.9678,0.9444,1.0000,0.9474,2.59,0.9375,0.0000,4622,1.324091,0.7810
