model,id,tier,kind,passed,regressed,status,exit_reason,steps,duration_ms,input_tokens,output_tokens,cache_read,cache_creation,cost_usd,unmetered,tool_calls,tool_errors,files_changed,lines_changed
ollama/glm-5.2,ffd72160b,1,bug,1,0,ok,done,14,77098,322021,5653,0,0,0.0000,1,24,3,3,46
ollama/glm-5.2,803e404b5,1,bug,1,0,ok,done,17,92753,551166,2663,0,0,0.0000,1,20,3,1,17
ollama/glm-5.2,3606adde3,1,bug,1,0,ok,done,13,78159,260983,6105,0,0,0.0000,1,18,2,1,63
ollama/glm-5.2,89ecaccf9,2,bug,1,0,ok,done,12,65329,149725,3311,0,0,0.0000,1,20,3,1,10
ollama/glm-5.2,6636b59a7,2,bug,1,0,ok,done,13,41391,226205,2096,0,0,0.0000,1,14,0,1,49
ollama/glm-5.2,823cdc23f,2,bug,1,0,ok,done,26,247306,579701,8786,0,0,0.0000,1,31,9,1,59
ollama/glm-5.2,9d2ed2e0a,3,bug,0,0,ok,done,37,281207,3263163,13405,0,0,0.0000,1,52,2,5,160
ollama/glm-5.2,e38ea07f1,3,bug,0,0,ok,maxSteps,40,458951,1659541,37442,0,0,0.0000,1,48,7,1,217
ollama/glm-5.2,89d7b19fe,3,bug,0,0,ok,done,20,60818,473593,3459,0,0,0.0000,1,24,2,3,43
ollama/devstral-2:123b,ffd72160b,1,bug,1,0,ok,done,30,137500,624499,5757,0,0,0.0000,1,33,2,3,27
ollama/devstral-2:123b,803e404b5,1,bug,1,0,ok,done,36,149445,849676,4332,0,0,0.0000,1,37,8,1,4
ollama/devstral-2:123b,3606adde3,1,bug,0,0,ok,degenerateLoop,31,122333,682383,6089,0,0,0.0000,1,30,4,1,56
ollama/devstral-2:123b,89ecaccf9,2,bug,1,0,ok,done,23,122704,821893,1670,0,0,0.0000,1,24,8,1,4
ollama/devstral-2:123b,6636b59a7,2,bug,1,0,ok,done,11,23983,120670,1349,0,0,0.0000,1,10,2,1,40
ollama/devstral-2:123b,823cdc23f,2,bug,1,0,ok,done,12,33990,126881,1757,0,0,0.0000,1,11,2,1,10
ollama/devstral-2:123b,9d2ed2e0a,3,bug,0,0,error,maxSteps,40,167473,1216459,3443,0,0,0.0000,1,43,8,2,69
ollama/devstral-2:123b,e38ea07f1,3,bug,0,0,ok,done,31,169337,981433,8758,0,0,0.0000,1,30,5,1,130
ollama/devstral-2:123b,89d7b19fe,3,bug,0,0,ok,maxSteps,40,156443,1478760,8434,0,0,0.0000,1,40,5,2,56
ollama/kimi-k2.7-code:cloud,ffd72160b,1,bug,1,0,ok,done,33,155837,1360856,13409,0,0,0.0000,1,45,6,3,81
ollama/kimi-k2.7-code:cloud,803e404b5,1,bug,1,0,ok,done,31,352662,877786,7376,0,0,0.0000,1,45,4,1,11
ollama/kimi-k2.7-code:cloud,3606adde3,1,bug,1,0,ok,done,20,108449,305425,5694,0,0,0.0000,1,21,4,1,63
ollama/kimi-k2.7-code:cloud,89ecaccf9,2,bug,1,0,ok,done,35,141703,1278614,8379,0,0,0.0000,1,39,0,1,11
ollama/kimi-k2.7-code:cloud,6636b59a7,2,bug,1,0,ok,done,22,83214,541812,5686,0,0,0.0000,1,22,2,1,48
ollama/kimi-k2.7-code:cloud,823cdc23f,2,bug,1,0,ok,done,19,93184,493482,5307,0,0,0.0000,1,30,5,1,56
ollama/kimi-k2.7-code:cloud,9d2ed2e0a,3,bug,0,0,ok,done,39,339636,2951655,14451,0,0,0.0000,1,58,2,5,142
ollama/kimi-k2.7-code:cloud,e38ea07f1,3,bug,1,0,ok,maxSteps,40,343239,2266090,29236,0,0,0.0000,1,40,4,1,172
ollama/kimi-k2.7-code:cloud,89d7b19fe,3,bug,0,0,ok,done,18,63618,655324,5317,0,0,0.0000,1,26,2,3,95
